Equipment,Muscle,Exercise,Instructions
Barbell,Full Body,Thruster,"Start by holding the barbell at shoulder height with your feet shoulder-width apart. Perform a squat by bending your knees and hips, keeping your chest up and your weight on your heels. As you stand up, press the barbell overhead in a smooth, explosive motion. Lower the barbell back to your shoulders and repeat. Thrusters target your legs, shoulders, and arms, providing a full-body workout and cardiovascular challenge."
Barbell,Full Body,Barbell Lunge,"Place the barbell on your shoulders and stand tall with your feet hip-width apart. Take a step forward with one leg, lowering your back knee toward the floor to perform a lunge. Push through your front heel to return to standing, then alternate legs. Keep your torso upright and avoid letting your front knee pass over your toes. This exercise works the quads, glutes, and hamstrings while improving balance and coordination."
Barbell,Legs,Barbell Squat,"Position the barbell on your upper back, keeping your feet shoulder-width apart and toes slightly turned out. Lower your body by bending your knees and hips, making sure your knees track over your toes. Keep your back straight and chest up throughout the movement. Lower until your thighs are parallel to the ground, then press through your heels to return to standing. The barbell squat builds strength in the quads, glutes, and hamstrings."
Barbell,Legs,Front Squat,"Position the barbell across the front of your shoulders with your elbows raised to support it. Keep your chest up and your core engaged as you lower your body into a squat, making sure your knees do not extend past your toes. Keep your back straight and lower until your thighs are parallel to the ground, then press through your heels to return to standing. The front squat targets the quads and core."
Barbell,Legs,Romanian Deadlift,"Stand with feet hip-width apart, holding the barbell in front of your thighs. Keep a slight bend in your knees and hinge at the hips to lower the barbell down along your legs. Keep your back straight and core engaged throughout the movement. Lower until you feel a stretch in your hamstrings, then drive through your hips to return to standing. This exercise primarily targets the hamstrings and glutes."
Barbell,Legs,Split Squat,"Stand in a split stance, with one foot forward and the other foot extended behind you. Lower your body until your back knee nearly touches the ground, keeping your front knee in line with your toes. Push through your front heel to return to standing. Keep your chest up and your core engaged throughout the movement. This exercise works the quads, glutes, and hamstrings, helping to build leg strength and stability."
Barbell,Back,Bent-over Row,"Stand with your feet hip-width apart and bend your knees slightly. Hinge at the hips to lower your torso to about a 45-degree angle, keeping your back straight. Grip the barbell with your hands just wider than shoulder-width apart. Pull the barbell toward your torso, squeezing your shoulder blades together at the top of the movement. Lower the barbell back down with control. This exercise targets the upper back and biceps."
Barbell,Back,T-bar Row,"Stand with your feet shoulder-width apart, and grip the T-bar handle with both hands. Bend your knees slightly and hinge at the hips, keeping your back straight. Pull the handle toward your chest, squeezing your shoulder blades together at the top. Lower the weight back to the starting position, keeping the movement slow and controlled. This exercise targets the back, particularly the lats, traps, and rhomboids."
Barbell,Back,Pendlay Row,"Start by standing with your feet shoulder-width apart and the barbell on the floor. Bend at your hips and knees, keeping your back straight, and grip the bar with your hands just outside your knees. Explosively pull the barbell toward your chest, keeping your elbows close to your body. Lower the bar back to the ground with control. This variation of the row emphasizes explosiveness and targets the lats, traps, and rear deltoids."
Barbell,Back,Yates Row,"Stand with your feet shoulder-width apart and a barbell in front of you. Bend at the knees and hips, keeping your back straight, and grip the barbell with your hands just outside shoulder-width. Pull the bar toward your torso, keeping your elbows close to your sides. Squeeze your shoulder blades together at the top and lower the bar with control. This exercise targets the upper back and biceps, with an emphasis on the lats."
Barbell,Chest,Bench Press,"Lie on a flat bench with your feet flat on the floor and the barbell positioned over your chest. Grip the bar slightly wider than shoulder-width apart. Lower the barbell to your chest, keeping your elbows at about a 45-degree angle. Press the bar back up until your arms are fully extended. Keep your core tight and your lower back pressed into the bench. The bench press targets the chest, shoulders, and triceps."
Barbell,Chest,Incline Bench Press,"Set the bench to a slight incline. Lie back on the bench with your feet flat on the floor and grip the barbell slightly wider than shoulder-width apart. Lower the barbell to the upper part of your chest, keeping your elbows at a 45-degree angle. Press the bar back up until your arms are fully extended. This variation of the bench press targets the upper chest and shoulders."
Barbell,Chest,Decline Bench Press,Set the bench to a slight decline and secure your feet. Grip the barbell slightly wider than shoulder-width and lower it to the lower part of your chest. Keep your elbows at a 45-degree angle and press the bar back up until your arms are fully extended. The decline bench press focuses on the lower portion of the chest.
Barbell,Chest,Close-grip Bench Press,"Lie on a flat bench and grip the barbell with your hands closer than shoulder-width apart. Lower the barbell to your chest, keeping your elbows tucked in. Push the barbell back up to the starting position. This variation of the bench press places more emphasis on the triceps while still targeting the chest."
Barbell,Shoulders,Overhead Press,"Stand with your feet shoulder-width apart, holding the barbell at shoulder height. Press the barbell overhead, extending your arms fully. Lower the barbell back down to shoulder height. Keep your core engaged to prevent leaning back. The overhead press targets the shoulders, upper chest, and triceps."
Barbell,Shoulders,Push Press,"Start with the barbell at shoulder height and your feet shoulder-width apart. Bend your knees slightly and then explosively press the barbell overhead, locking out your arms. Lower the barbell back down to shoulder height. This movement works the shoulders and engages the legs for added power."
Barbell,Shoulders,Upright Row,"Stand with your feet shoulder-width apart, holding the barbell in front of your thighs with both hands. Lift the barbell up towards your chin, keeping your elbows higher than your wrists. Lower the barbell back down with control. This exercise targets the shoulders and traps."
Barbell,Shoulders,Seated Shoulder Press,"Sit on a bench with back support, holding a barbell at shoulder height with your palms facing forward. Press the barbell overhead until your arms are fully extended. Lower the barbell back to shoulder height with control. The seated shoulder press isolates the shoulders, engaging the deltoids and triceps."
Barbell,Biceps,Barbell Curl,"Stand with your feet shoulder-width apart, holding the barbell with your palms facing forward. Keep your elbows close to your torso and curl the barbell upward, squeezing your biceps at the top. Slowly lower the barbell back to the starting position. This exercise isolates the biceps and is great for building arm strength."
Barbell,Biceps,Preacher Curl,"Sit on the preacher bench with your arms extended and the barbell in your hands. Curl the barbell towards your shoulders while keeping your upper arms stationary. Squeeze your biceps at the top of the movement, then slowly lower the barbell back down. The preacher curl isolates the biceps and reduces momentum, emphasizing Muscle activation."
Barbell,Biceps,Drag Curl,"Stand with your feet shoulder-width apart and grip the barbell with an underhand grip. As you curl the barbell, keep it close to your body, dragging it up along your torso. Squeeze your biceps at the top, then slowly lower the barbell. This variation of the curl targets the biceps and forearms, reducing shoulder involvement."
Barbell,Biceps,Reverse Curl,"Stand with your feet shoulder-width apart, holding the barbell with an overhand grip. Keep your elbows close to your torso as you curl the barbell upward, focusing on contracting your forearms. Slowly lower the barbell back down. The reverse curl works the biceps and forearms, improving grip strength."
Barbell,Triceps,Skull Crusher,"Lie on a flat bench, holding a barbell with your hands shoulder-width apart. Lower the barbell toward your forehead by bending your elbows, keeping your upper arms stationary. Extend your arms back to the starting position, fully engaging the triceps. This exercise isolates the triceps and is effective for building arm strength."
Barbell,Triceps,Close-grip Bench Press,"Lie on a flat bench with your hands placed closer than shoulder-width apart. Lower the barbell to your chest while keeping your elbows close to your body. Push the barbell back up to the starting position, focusing on engaging the triceps. This variation of the bench press emphasizes the triceps more than the chest."
Barbell,Triceps,JM Press,"Lie on a bench and hold the barbell with a grip slightly narrower than shoulder-width. Lower the barbell towards your neck, then press it back up to the starting position. This hybrid movement targets both the chest and triceps, helping to build upper body strength."
Barbell,Triceps,Overhead Extension,"Sit or stand holding a barbell overhead with your arms extended. Lower the barbell behind your head by bending your elbows, keeping your upper arms stationary. Press the barbell back overhead to the starting position, focusing on contracting your triceps. This exercise isolates the triceps and is great for building arm strength."
Bench Press,Chest,Flat Bench Press,"Lie flat on the bench with your feet planted on the floor. Grip the barbell with your hands slightly wider than shoulder-width apart. Lower the barbell to your chest, keeping your elbows at about a 45-degree angle. Push the bar back up until your arms are fully extended. This exercise targets the chest, shoulders, and triceps."
Bench Press,Chest,Incline Bench Press,"Set the bench to a slight incline and lie back, gripping the barbell slightly wider than shoulder-width apart. Lower the barbell to the upper chest, then press it back up until your arms are fully extended. The incline bench press targets the upper chest and shoulders."
Bench Press,Chest,Decline Bench Press,"Set the bench to a slight decline and secure your feet. Grip the barbell with your hands slightly wider than shoulder-width. Lower the barbell to the lower part of your chest, then press it back up. This exercise targets the lower chest."
Bench Press,Chest,Dumbbell Fly,"Lie on a flat bench, holding a dumbbell in each hand. With a slight bend in your elbows, lower the dumbbells out to the sides of your chest. Once your elbows are at a 90-degree angle, squeeze the dumbbells together at the top. This exercise isolates the chest and helps to build Muscle definition."
Bench Press,Shoulders,Incline Bench Press,"Set the bench to an incline of about 30 degrees. Grip the barbell slightly wider than shoulder-width, lower it to the upper part of your chest, and press it back up. This targets the upper chest and shoulders."
Bench Press,Shoulders,Shoulder Press,"Sit on a bench with back support and grip the barbell at shoulder height. Press the barbell upward until your arms are fully extended. Lower it back down to shoulder height with control. The shoulder press isolates the deltoids, with additional tricep activation."
Bench Press,Triceps,Close-grip Bench Press,"Grip the barbell with your hands positioned close together, lower it to your chest, and press it back up. This targets the triceps, while also engaging the chest."
Bench Press,Triceps,Tricep Extension,"Lie on a flat bench and hold the barbell with your arms extended overhead. Lower the bar behind your head by bending your elbows, then press it back overhead to the starting position. This exercise isolates the triceps."
Bench Press,Triceps,Skull Crusher,Lie on a bench and hold the barbell with your arms extended overhead. Lower the barbell towards your forehead by bending your elbows. Press the barbell back to the starting position. This exercise isolates the triceps.
Dumbbell,Full Body,Dumbbell Squat,"Hold a dumbbell in each hand by your sides, with your feet shoulder-width apart. Lower into a squat by bending at the hips and knees, keeping your back straight. Push through your heels to return to standing. This exercise targets the quads, hamstrings, glutes, and core."
Dumbbell,Full Body,Dumbbell Deadlift,"Hold a dumbbell in each hand with your feet shoulder-width apart. With a slight bend in your knees, hinge at the hips and lower the dumbbells towards the ground, keeping your back straight. Return to standing by driving your hips forward. This exercise targets the hamstrings, glutes, and lower back."
Dumbbell,Full Body,Dumbbell Clean and Press,"Stand with your feet shoulder-width apart and a dumbbell in each hand. Lower into a squat and explosively stand up, bringing the dumbbells to shoulder height. Press the dumbbells overhead. Lower the weights back down to your sides. This full-body exercise targets the shoulders, legs, and core."
Dumbbell,Full Body,Renegade Row,"Start in a plank position, with a dumbbell in each hand. Row one dumbbell towards your torso while stabilizing with the other arm. Lower the dumbbell back to the floor, and repeat on the other side. This exercise works the upper back, arms, and core."
Dumbbell,Legs,Goblet Squat,"Hold a dumbbell with both hands close to your chest, keeping your elbows pointed down. Lower into a squat by bending your knees and hips, keeping your chest up and back straight. Press through your heels to stand back up. This exercise targets the quads, glutes, and core."
Dumbbell,Legs,Dumbbell Lunge,"Hold a dumbbell in each hand by your sides. Step forward with one leg and lower your body until both knees are at 90-degree angles. Push through the front heel to return to standing. Alternate legs. This exercise targets the quads, hamstrings, and glutes."
Dumbbell,Legs,Split Squat,"Stand in a split stance, holding a dumbbell in each hand by your sides. Lower your body by bending both knees until your back knee nearly touches the ground. Push through your front heel to return to standing. This exercise targets the quads, glutes, and hamstrings."
Dumbbell,Legs,Dumbbell Step-up,"Hold a dumbbell in each hand by your sides. Step onto a bench or platform with one foot, driving through the heel to lift your body. Step down with the same foot and repeat. This exercise targets the quads, hamstrings, and glutes."
Dumbbell,Back,Dumbbell Row,"Place one knee and hand on a bench for support, holding a dumbbell in the opposite hand. Row the dumbbell towards your torso, squeezing your shoulder blade at the top. Lower it back down with control. This exercise targets the upper back, especially the lats."
Dumbbell,Back,Single-arm Dumbbell Row,"Place one knee and hand on a bench, holding a dumbbell in the opposite hand. Row the dumbbell toward your torso, keeping your elbow close to your body. Lower it back down with control. This variation isolates each side of the back."
Dumbbell,Back,Renegade Row,Begin in a plank position with a dumbbell in each hand. Row one dumbbell towards your torso while stabilizing with the other hand. Alternate rows while engaging your core to prevent rotation. This exercise strengthens the upper back and core.
Dumbbell,Chest,Dumbbell Bench Press,"Lie on a flat bench with a dumbbell in each hand. Press the dumbbells straight up, keeping your elbows at a 45-degree angle. Lower the dumbbells back to chest level. This exercise targets the chest, shoulders, and triceps."
Dumbbell,Chest,Incline Dumbbell Press,"Set the bench to an incline. Hold a dumbbell in each hand at shoulder height and press the weights straight up, fully extending your arms. Lower the weights back down to the starting position. This targets the upper chest and shoulders."
Dumbbell,Chest,Dumbbell Fly,"Lie on a bench with a dumbbell in each hand. With a slight bend in your elbows, lower the dumbbells out to the sides of your chest. Once your elbows are at a 90-degree angle, bring the dumbbells together at the top. This exercise isolates the chest and helps to build Muscle definition."
Dumbbell,Shoulders,Dumbbell Shoulder Press,Sit or stand with a dumbbell in each hand at shoulder height. Press the dumbbells overhead until your arms are fully extended. Lower them back down with control. This exercise targets the shoulders and triceps.
Dumbbell,Shoulders,Lateral Raise,"Stand with a dumbbell in each hand by your sides. Raise your arms out to the sides until they are parallel to the floor, then lower back down. This exercise targets the shoulders, particularly the lateral deltoids."
Dumbbell,Shoulders,Front Raise,"Stand with a dumbbell in each hand by your sides. Raise the dumbbells in front of you until your arms are parallel to the floor, then lower back down. This exercise targets the front deltoids."
Dumbbell,Shoulders,Arnold Press,Sit or stand with a dumbbell in each hand at shoulder height. Rotate your palms toward your body and press the dumbbells overhead while rotating your palms outward. Lower the dumbbells back down with control. This variation of the shoulder press targets all parts of the deltoids.
Dumbbell,Biceps,Dumbbell Curl,"Stand with a dumbbell in each hand, palms facing forward. Curl the dumbbells toward your shoulders, keeping your elbows close to your torso. Squeeze your biceps at the top, then lower the dumbbells back down. This exercise isolates the biceps."
Dumbbell,Biceps,Hammer Curl,"Stand with a dumbbell in each hand, palms facing each other. Curl the dumbbells toward your shoulders, keeping your elbows close to your torso. Lower the dumbbells back down. This exercise targets the brachialis and forearms, in addition to the biceps."
Dumbbell,Biceps,Concentration Curl,"Sit on a bench with your legs spread apart. Hold a dumbbell in one hand with your elbow resting on your inner thigh. Curl the dumbbell toward your shoulder, squeezing your biceps at the top. Lower it back down with control. This exercise isolates the biceps for a more concentrated contraction."
Dumbbell,Triceps,Dumbbell Tricep Extension,"Sit or stand with a dumbbell held overhead with both hands. Lower the dumbbell behind your head by bending your elbows, then press it back overhead. This exercise targets the triceps, particularly the long head."
Dumbbell,Triceps,Kickback,"Hold a dumbbell in each hand, bend forward at the hips, and keep your elbows bent at 90 degrees. Extend your forearms behind you until your arms are fully extended, then return to the starting position. This exercise isolates the triceps, particularly the long head."
Dumbbell,Triceps,Overhead Tricep Extension,"Sit or stand holding a dumbbell overhead with both hands. Lower the dumbbell behind your head by bending your elbows, then press it back overhead. This exercise isolates the triceps and targets the long head."
Pull-up Bar,Back,Pull-up,"Grip the pull-up bar with your palms facing away from you. Hang with your arms fully extended, then pull your chest up toward the bar. Lower your body back down with control. This exercise targets the lats, biceps, and upper back."
Pull-up Bar,Back,Chin-up,"Grip the pull-up bar with your palms facing toward you. Hang with your arms fully extended, then pull your chin over the bar. Lower your body back down with control. This exercise targets the biceps, lats, and upper back."
Pull-up Bar,Back,Negative Pull-up,"Grip the pull-up bar with your palms facing away from you. Jump or use a bench to get your chin above the bar. Slowly lower your body down to a fully extended position. This exercise emphasizes the eccentric phase of the pull-up, building strength in the back and biceps."
Pull-up Bar,Back,Lat Pulldown,"Sit at a lat pulldown machine with a wide grip on the bar. Pull the bar down toward your chest, squeezing your shoulder blades together at the bottom of the movement. Slowly return the bar to the starting position. This exercise targets the lats and upper back."
Pull-up Bar,Shoulders,Pull-up,"Grip the pull-up bar with your palms facing away from you. Hang with your arms fully extended, then pull your chest up toward the bar. Lower your body back down with control. This exercise targets the shoulders, traps, lats, and biceps."
Resistance Bands,Full Body,Band Squat,"Stand with your feet shoulder-width apart, holding the handles of the resistance band with both hands. Position the band under your feet and hold the handles at shoulder height. Squat down, pushing your hips back and bending your knees. Push through your heels to stand back up. This exercise targets the quads, hamstrings, and glutes."
Resistance Bands,Full Body,Banded Push-up,"Start in a push-up position with the resistance band placed across your upper back and anchored at both ends under your hands. Perform a standard push-up, keeping your body straight and lowering your chest to the floor, then press back up. This exercise targets the chest, triceps, and shoulders."
Resistance Bands,Full Body,Band Thruster,"Stand with your feet shoulder-width apart, holding the resistance band handles at shoulder height. Perform a squat and, as you rise, press the handles overhead into a full extension. Lower the band back to the starting position and repeat. This exercise targets the legs, shoulders, and core."
Resistance Bands,Full Body,Band Pull-apart,"Hold a resistance band with both hands, arms extended in front of you. Pull the band apart by separating your hands while keeping your arms straight. Squeeze your shoulder blades together as you pull. Slowly return to the starting position. This exercise targets the back, shoulders, and traps."
Resistance Bands,Legs,Band Squat,"Stand with your feet shoulder-width apart and the resistance band looped around your thighs. Lower into a squat while pushing your knees outward against the resistance. Keep your chest lifted and push through your heels to stand back up. This exercise targets the glutes, quads, and hamstrings."
Resistance Bands,Legs,Band Lunge,"Place the resistance band under your front foot and hold the handles with both hands. Step forward into a lunge position, ensuring your knee stays aligned with your ankle. Push back to the starting position. This exercise targets the quads, hamstrings, and glutes."
Resistance Bands,Legs,Band Deadlift,"Place the resistance band under your feet and hold the handles. With a slight bend in your knees, hinge at the hips and lower the handles towards the ground. Squeeze your glutes and return to a standing position. This exercise targets the hamstrings, glutes, and lower back."
Resistance Bands,Legs,Banded Calf Raise,Place the resistance band under your feet and hold the handles. Stand tall and raise your heels off the ground by pushing through the balls of your feet. Lower your heels back down slowly. This exercise targets the calves.
Resistance Bands,Chest,Band Chest Press,Anchor the resistance band behind you at chest height. Hold the handles and position them at shoulder level with your elbows bent. Press the handles forward until your arms are fully extended. Slowly return to the starting position. This exercise targets the chest and triceps.
Resistance Bands,Chest,Band Flye,"Anchor the resistance band behind you and hold the handles. Start with your arms extended out to your sides and palms facing forward. Pull the handles together in front of you, squeezing your chest Muscles. Slowly return to the starting position. This exercise targets the chest."
Resistance Bands,Chest,Banded Push-up,"Place the resistance band across your upper back and perform a regular push-up. The band should add resistance as you push up, increasing the intensity. This exercise targets the chest, triceps, and shoulders."
Resistance Bands,Chest,Band Chest Squeeze,"Hold the resistance band with both hands in front of you, arms extended. Squeeze the handles together by contracting your chest Muscles. Slowly return to the starting position. This exercise targets the chest."
Resistance Bands,Back,Band Rows,"Anchor the resistance band at a low point in front of you. Hold the handles and pull them towards you, squeezing your shoulder blades together. Slowly return to the starting position. This exercise targets the back and biceps."
Resistance Bands,Back,Band Pull-apart,"Hold a resistance band with both hands, arms extended in front of you. Pull the band apart by separating your hands while keeping your arms straight. Squeeze your shoulder blades together as you pull. Slowly return to the starting position. This exercise targets the back, shoulders, and traps."
Resistance Bands,Back,Band Lat Pulldown,"Anchor the resistance band overhead and hold the handles. Pull the handles down towards your chest, keeping your elbows in line with your body. Slowly return to the starting position. This exercise targets the back, especially the lat Muscles."
Resistance Bands,Shoulders,Band Overhead Press,"Stand on the resistance band with your feet shoulder-width apart. Hold the handles at shoulder height with your palms facing forward. Press the handles overhead, extending your arms fully. Slowly return to the starting position. This exercise targets the shoulders."
Resistance Bands,Shoulders,Band Lateral Raise,Stand with your feet shoulder-width apart and hold the resistance band handles at your sides. Lift your arms straight out to the sides until they are shoulder-height. Slowly return to the starting position. This exercise targets the shoulders.
Resistance Bands,Shoulders,Band Front Raise,Stand with your feet shoulder-width apart and hold the resistance band handles in front of your thighs. Lift the handles in front of you until your arms are shoulder-height. Slowly return to the starting position. This exercise targets the front deltoids.
Kettlebell,Full Body,Kettlebell Swing,"Stand with your feet shoulder-width apart, holding the kettlebell with both hands. Hinge at the hips and swing the kettlebell between your legs, then drive your hips forward to swing it up to shoulder height. This exercise targets the hips, glutes, and core."
Kettlebell,Full Body,Goblet Squat,"Hold a kettlebell close to your chest with both hands, elbows pointing downward. Lower your body into a squat, keeping your chest up and back straight. Push through your heels to stand back up. This exercise targets the quads, glutes, and core."
Kettlebell,Full Body,Turkish Get-Up,"Lie on your back holding a kettlebell in one hand. Push the kettlebell overhead, keeping your arm straight. Slowly rise from the floor by moving through a series of positions (elbow, hand, hips) until you are standing. Reverse the movement to return to the floor. This exercise targets the core, shoulders, and hips."
Kettlebell,Full Body,Clean and Press,"Stand with your feet shoulder-width apart, holding the kettlebell with both hands. Clean the kettlebell to your chest, then press it overhead with one arm. Lower it back to the starting position. This exercise targets the shoulders, arms, and core."
Kettlebell,Full Body,Snatch,"Start with the kettlebell on the floor between your feet. Swing the kettlebell between your legs, then in one motion, pull it overhead, locking out your arm. Lower it back down with control and repeat. This exercise targets the hips, glutes, shoulders, and core."
Kettlebell,Core,Russian Twist,"Sit on the floor with your knees bent and feet flat. Hold a kettlebell with both hands, twisting your torso to each side, tapping the kettlebell to the floor. This exercise targets the obliques and core."
Kettlebell,Core,Windmill,"Hold a kettlebell overhead with one hand, keeping your arm straight. Hinge at your hips and lower your body while keeping the kettlebell overhead. Return to the starting position. This exercise targets the core and shoulders."
Kettlebell,Core,Around the World,"Hold a kettlebell with both hands in front of you. Rotate the kettlebell in a circular motion around your body, keeping your arms straight. This exercise targets the shoulders, core, and obliques."
Kettlebell,Core,Half Kneeling Halo,"Kneel on one knee while holding a kettlebell with both hands. Move the kettlebell in a circular motion around your head, keeping your core tight. This exercise targets the shoulders and core."
Kettlebell,Legs,Goblet Squat,"Hold a kettlebell close to your chest with both hands, elbows pointing downward. Lower your body into a squat, keeping your chest up and back straight. Push through your heels to stand back up. This exercise targets the quads, glutes, and core."
Kettlebell,Legs,Lunge Pass-through,"Hold a kettlebell in front of you with both hands. Step into a lunge, then pass the kettlebell under your front leg to your other hand. Return to standing and repeat with the other leg. This exercise targets the legs, glutes, and core."
Kettlebell,Legs,Single-leg Deadlift,"Hold a kettlebell in one hand. Stand on one leg and hinge forward at the hips, lowering the kettlebell towards the floor while keeping your back straight. Return to the standing position. This exercise targets the hamstrings, glutes, and core."
Kettlebell,Legs,Kettlebell Step-up,"Hold a kettlebell in both hands at chest height. Step up onto a bench or platform with one leg, then bring the other leg up to join it. Step back down and repeat. This exercise targets the quads, glutes, and hamstrings."
Kettlebell,Shoulders,Overhead Press,"Hold a kettlebell in one hand at shoulder height. Press the kettlebell overhead, keeping your arm straight. Lower the kettlebell back to the starting position. This exercise targets the shoulders and arms."
Kettlebell,Shoulders,Push Press,"Hold a kettlebell at shoulder height. Dip slightly by bending your knees, then press the kettlebell overhead using your legs for momentum. Lower it back down and repeat. This exercise targets the shoulders and arms."
Kettlebell,Shoulders,Halo,Hold the kettlebell with both hands and rotate it around your head in a circular motion. Keep your core engaged and focus on controlling the movement. This exercise targets the shoulders and core.
Kettlebell,Shoulders,Bottoms-up Press,"Hold the kettlebell upside down, with the bottom facing up. Press the kettlebell overhead while keeping it balanced. Lower it back down with control. This exercise targets the shoulders and stability."
Pull-up Bar,Upper Body,Pull-up,"Grip the pull-up bar with your palms facing away from you and hands shoulder-width apart. Pull your body up until your chin is above the bar, then lower yourself back down with control. This exercise targets the back, shoulders, and biceps."
Pull-up Bar,Upper Body,Chin-up,"Grip the pull-up bar with your palms facing towards you and hands shoulder-width apart. Pull your body up until your chin is above the bar, then lower yourself back down. This exercise targets the back, biceps, and forearms."
Pull-up Bar,Upper Body,Muscle-up,"Begin in a hanging position on the pull-up bar. Perform a pull-up and transition into a dip position by pushing your chest over the bar. Press up into a full dip, then reverse the movement. This advanced exercise targets the chest, shoulders, back, and arms."
Pull-up Bar,Upper Body,Wide Grip Pull-up,"Grip the pull-up bar with your hands wider than shoulder-width. Pull your body up until your chin is above the bar, then lower yourself back down with control. This exercise emphasizes the back and shoulders."
Pull-up Bar,Back,Pull-up,"Grip the pull-up bar with your palms facing away from you and hands shoulder-width apart. Pull your body up until your chin is above the bar, then lower yourself back down with control. This exercise targets the back and biceps."
Pull-up Bar,Back,Lat Pulldown,"Using a pull-up bar or lat pulldown machine, grip the bar with your palms facing away from you. Pull the bar down towards your chest while squeezing your shoulder blades together, then slowly return to the starting position. This exercise targets the lat Muscles."
Pull-up Bar,Back,Scapular Pull-up,Hang from the pull-up bar with your arms fully extended. Engage your shoulder blades and pull them down and back without bending your arms. This exercise isolates the Muscles around your scapula and improves shoulder mobility.
Pull-up Bar,Abs,Hanging Leg Raise,"Hang from the pull-up bar with your legs straight. Raise your legs towards your chest while keeping your body stable, then lower them back down with control. This exercise targets the lower abs."
Pull-up Bar,Abs,Toes-to-Bar,"Hang from the pull-up bar and raise your legs until your toes touch the bar. Lower your legs back down with control. This exercise targets the abs, especially the lower portion."
